X Y
0.101534 0.890998
0.052948 0.703211
0.269992 0.635831
0.582161 0.744055
0.293349 0.682636
0.011840 0.566188
0.422056 0.817320
0.123093 0.931871
0.911741 0.915698
0.318497 0.712492
0.284211 0.934634
0.061894 0.390664
0.023674 0.161088
0.129096 0.654464
0.220652 0.591113
0.304800 0.915394
0.250179 0.366694
0.527782 0.707627
0.350475 0.392081
0.068731 0.967638
0.108575 0.669919
0.148182 0.700749
0.460775 0.597858
0.398211 0.722957
0.127356 0.466941
0.704729 0.799170
0.246541 0.533630
0.866001 0.965939
0.159413 0.959746
0.106150 0.620188
0.331142 0.522156
0.291571 0.315949
0.014490 0.244937
0.651231 0.898906
0.621862 0.704847
0.111627 0.528009
0.754743 0.977628
0.120383 0.631518
0.200143 0.968920
0.113539 0.791348
0.119176 0.735402
0.496195 0.635559
0.047859 0.777664
0.305673 0.611414
0.137114 0.799621
0.054918 0.128925
0.758628 0.889153
0.154116 0.958772
0.022346 0.359474
0.137138 0.253758
0.229691 0.442810
0.242431 0.920090
0.500375 0.775880
0.283330 0.712179
0.601332 0.981557
0.000730 0.459406
0.553630 0.891227
0.608899 0.783321
0.334038 0.474071
0.150125 0.576469
0.394161 0.645855
0.779158 0.894536
0.104446 0.208048
0.667454 0.784909
0.593406 0.939492
0.223815 0.347496
0.294634 0.777445
0.238723 0.903534
0.560765 0.572761
0.377605 0.710890
0.149230 0.771766
0.356745 0.928388
0.666302 0.778479
0.027655 0.095323
0.043297 0.479809
0.220199 0.940716
0.221458 0.526934
0.162394 0.782224
0.099695 0.539998
0.311764 0.849859
0.177314 0.978066
0.251084 0.655992
0.263513 0.732150
0.880670 0.957677
0.168696 0.946636
0.205496 0.829490
0.197719 0.583025
0.239017 0.941479
0.111074 0.349310
0.040121 0.121361
0.824824 0.938767
0.205106 0.502790
0.387570 0.444123
0.444269 0.568523
0.597520 0.849760
0.630146 0.708595
0.199070 0.919749
0.378048 0.842200
0.087817 0.784612
0.192303 0.701324
0.489936 0.963768
0.858629 0.883403
0.111580 0.488775
0.023049 0.786572
0.236276 0.856809
0.079826 0.324093
0.025418 0.988599
0.003171 0.936953
0.211905 0.639824
0.404546 0.767466
0.636941 0.776363
0.197311 0.274593
0.263192 0.746017
0.906188 0.934683
0.003947 0.201758
0.155237 0.335032
0.464933 0.806105
0.048970 0.531010
0.377356 0.685912
0.307372 0.324401
0.559129 0.940544
0.351272 0.756440
0.215138 0.650272
0.396289 0.450035
0.132806 0.650881
0.013942 0.930018
0.131776 0.193889
0.352921 0.596709
0.734875 0.968999
0.050444 0.124681
0.603011 0.913181
0.024273 0.674248
0.231125 0.377194
0.138437 0.790844
0.172661 0.174356
0.389019 0.775672
0.087537 0.868667
0.487827 0.968797
0.621441 0.995638
0.053346 0.901523
0.165075 0.328842
0.119686 0.225442
0.351492 0.777150
0.951506 0.973867
0.119021 0.323653
0.347245 0.704358
0.094681 0.803842
0.013882 0.716122
0.617645 0.964555
0.396071 0.534126
0.268066 0.515757
0.292906 0.344416
0.143711 0.244412
0.318282 0.443535
0.607858 0.831714
0.116254 0.923872
0.727714 0.890682
0.078828 0.759814
0.182811 0.523082
0.407056 0.501093
0.661909 0.833353
0.092988 0.146378
0.245249 0.700846
0.624718 0.854891
0.044198 0.371374
0.057465 0.123025
0.131188 0.927203
0.089847 0.144232
0.033642 0.496903
0.187415 0.307234
0.440366 0.605967
0.512300 0.838026
0.209399 0.793117
0.785175 0.884790
0.307069 0.430500
0.362103 0.909644
0.250695 0.320502
0.158528 0.677464
0.319492 0.367927
0.470581 0.999015
0.001066 0.425133
0.048165 0.577507
0.784712 0.845690
0.333642 0.407761
0.083580 0.695745
0.317405 0.334275
0.016247 0.259217
0.097270 0.174775
0.584835 0.709983
0.287490 0.714582
0.478690 0.621132
0.122343 0.562270
0.316877 0.439748
0.698965 0.993816
0.507900 0.635645
0.042906 0.826356
0.301820 0.641067
0.240295 0.362961
0.699463 0.952867
0.416267 0.604971
0.517188 0.924167
0.240616 0.927767
0.312543 0.698638
0.315317 0.671886
0.138144 0.987438
0.510811 0.580990
0.505157 0.889737
0.173259 0.709888
0.262733 0.345277
0.043915 0.613313
0.043772 0.269979
0.142361 0.181917
0.257417 0.307084
0.226067 0.768227
0.873157 0.938184
0.461880 0.629673
0.036033 0.807982
0.153259 0.678602
0.291915 0.619502
0.471261 0.822642
0.411032 0.660930
0.045123 0.284189
0.314985 0.689338
0.367940 0.807953
0.077904 0.558877
0.219806 0.896235
0.773124 0.818920
0.403238 0.686986
0.454067 0.718223
0.376324 0.387979
0.186467 0.744265
0.195932 0.851884
0.404119 0.623387
0.086361 0.265256
0.731123 0.933671
0.597654 0.661501
0.575728 0.658730
0.216710 0.799509
0.085517 0.124879
0.869144 0.874182
0.123868 0.273263
0.411306 0.755706
0.079435 0.699751
0.410786 0.509874
0.451898 0.892154
0.777161 0.949467
0.102383 0.315680
0.178158 0.246283
0.680149 0.924140
0.381299 0.552526
0.062031 0.792084
0.062400 0.961497
0.288387 0.697153
0.201051 0.991112
0.948827 0.978211
0.297494 0.745746
0.187088 0.263405
0.187544 0.250876
0.588683 0.749899
0.320226 0.969982
0.302424 0.382257
0.061978 0.882968
0.107126 0.263028
0.241240 0.814658
0.107164 0.535131
0.524258 0.946413
0.082923 0.998736
0.425481 0.844989
0.363560 0.769236
0.058521 0.929805
0.570342 0.745814
0.019197 0.382541
0.094012 0.543455
0.328954 0.817010
0.024001 0.285715
0.054952 0.479751
0.482318 0.501664
0.233441 0.540839
0.431469 0.574384
0.706523 0.896406
0.515271 0.661417
0.204872 0.955037
0.426293 0.861269
0.391864 0.627194
0.142175 0.394329
0.034502 0.990897
0.671195 0.676723
0.338140 0.860524
0.404282 0.795864
0.189768 0.192031
0.708007 0.854417
0.001384 0.103620
0.610149 0.689190
0.241717 0.752324
0.083519 0.276219
0.743221 0.754714
0.952942 0.977661
0.449611 0.467540
0.243247 0.249778
0.287432 0.838803
0.382072 0.757417
0.494346 0.538477
0.725568 0.740548
0.029364 0.796429
0.068894 0.440928
0.097089 0.475081
0.590211 0.873942
0.387291 0.705844
0.087705 0.241296
0.037725 0.663278
0.078464 0.313451
0.637183 0.721013
0.857908 0.969152
0.884125 0.939462
0.084295 0.271416
0.289069 0.550438
0.038712 0.413508
0.552691 0.685305
0.653512 0.671531
0.610993 0.847147
0.019147 0.321766
0.468890 0.519465
0.013870 0.810296
0.023765 0.137474
0.278949 0.396761
0.232101 0.932461
0.068292 0.994953
0.470098 0.679285
0.169462 0.473121
0.237765 0.891187
0.219752 0.382948
0.193244 0.433343
0.423395 0.849766
0.782226 0.803280
0.482565 0.492549
0.414445 0.519571
0.427771 0.634196
0.005699 0.594845
0.391663 0.787925
0.040250 0.880691
0.534662 0.571725
0.298841 0.888458
0.507541 0.826160
0.829204 0.935312
0.460357 0.731723
0.087086 0.328175
0.621761 0.702633
0.310201 0.662011
0.583324 0.844863
0.233736 0.882164
0.733321 0.937855
0.247487 0.674014
0.368615 0.609533
0.319195 0.652581
0.030588 0.623702
0.314360 0.909658
0.075733 0.548096
0.791823 0.809054
0.485951 0.958295
0.632309 0.925286
0.356840 0.618543
0.254442 0.306662
0.186351 0.995333
0.904991 0.910453
0.048808 0.696814
0.655109 0.673596
0.268197 0.287418
0.529053 0.955723
0.072290 0.951311
0.773762 0.798391
0.268941 0.997529
0.014114 0.547047
0.109823 0.733621
0.081806 0.764933
0.428328 0.581405
0.076508 0.822267
0.099443 0.676192
0.723509 0.910620
0.188877 0.992450
0.096112 0.406389
0.109905 0.110226
0.257165 0.813572
0.073695 0.588631
0.761797 0.797205
0.499251 0.950674
0.647569 0.885767
0.802466 0.961863
0.090904 0.187710
0.001283 0.617292
0.567055 0.940052
0.284213 0.820156
0.362032 0.667559
0.826229 0.861283
0.023276 0.497643
0.337482 0.652163
0.839873 0.961217
0.776454 0.841155
0.781207 0.862722
0.163666 0.736536
0.765561 0.998156
0.621021 0.709325
0.210595 0.644297
0.568334 0.749290
0.092800 0.174689
0.009565 0.256465
0.325892 0.676786
0.268576 0.503283
0.418096 0.476250
0.185575 0.842000
0.167071 0.503640
0.650483 0.751920
0.008385 0.646467
0.305736 0.334277
0.323253 0.949580
0.397155 0.591829
0.452863 0.815251
0.068079 0.084268
0.646198 0.828559
0.443304 0.801275
0.493022 0.610375
0.170928 0.955398
0.904062 0.906169
0.615446 0.912447
0.552636 0.921183
0.246724 0.875889
0.459129 0.535796
0.162722 0.717247
0.018841 0.606026
0.216401 0.823437
0.293498 0.394281
0.480514 0.846135
0.315464 0.727238
0.509853 0.830247
0.725537 0.917747
0.143743 0.514988
0.251910 0.995021
0.712267 0.969478
0.020658 0.230789
0.054226 0.145346
0.624388 0.833061
0.713413 0.917887
0.122529 0.401322
0.156632 0.266273
0.261293 0.866947
0.823175 0.973560
0.836425 0.843833
0.204349 0.317766
0.080893 0.258574
0.463112 0.705281
0.091635 0.176525
0.370452 0.387190
0.950342 0.986331
0.207555 0.570025
0.061883 0.411904
0.081090 0.897879
0.858415 0.942873
0.189496 0.731649
0.533687 0.773396
0.280669 0.363386
0.349717 0.452527
0.097662 0.744591
0.686522 0.831262
0.167298 0.976460
0.486580 0.819664
0.065285 0.344995
0.076644 0.296223
0.028178 0.357313
0.517247 0.716558
0.541129 0.918534
0.741081 0.847111
0.207611 0.908379
0.823570 0.847591
0.014998 0.410315
0.335065 0.831954
0.109501 0.831775
0.463576 0.863418
0.478828 0.980823
0.229436 0.690638
0.252781 0.969558
0.563485 0.634588
0.049841 0.318796
0.150750 0.219497
0.319671 0.619394
0.117607 0.429172
0.451170 0.581183
0.292590 0.929997
0.562007 0.872566
0.193623 0.817022
0.507660 0.522893
0.576230 0.760441
0.395029 0.542292
0.393456 0.675348
0.142300 0.745912
0.307456 0.625864
0.924138 0.950546
0.279975 0.724606
0.399954 0.657132
0.386559 0.694696
0.493369 0.696422
0.135813 0.256033
0.196790 0.846800
0.511149 0.836874
0.033163 0.643322
0.396556 0.785387
0.684939 0.978715
0.056592 0.427321
0.232313 0.828876
0.612589 0.725682
0.525298 0.748402
0.780805 0.834584
0.137751 0.687026
0.267701 0.438205
0.462676 0.801444
0.586831 0.648875
0.472298 0.688785
0.795943 0.997596
0.437187 0.777659
0.270524 0.278645
0.906528 0.910826
0.048235 0.174229
0.569743 0.811707
0.182554 0.508887
0.059737 0.258750
0.152751 0.249314
0.417109 0.423274
0.527959 0.997513
0.358722 0.401747
0.211859 0.406957
0.680795 0.861952
0.552424 0.740532
0.120702 0.131573
0.506664 0.802197
0.452959 0.659415
