X Y
0.157107 0.593105
0.687821 0.791680
0.024997 0.980851
0.306922 0.663390
0.292339 0.541050
0.183989 0.955511
0.548501 0.690922
0.180727 0.776908
0.430028 0.958048
0.650715 0.751412
0.586234 0.829878
0.590503 0.760277
0.886537 0.973198
0.331121 0.926959
0.102681 0.663400
0.023937 0.999714
0.120631 0.610170
0.370447 0.899236
0.453449 0.984837
0.136115 0.784570
0.537536 0.857567
0.023805 0.562321
0.605913 0.886300
0.322108 0.708594
0.489580 0.890585
0.464602 0.625696
0.361749 0.898573
0.092055 0.970085
0.678679 0.929379
0.599710 0.716421
0.924886 0.981175
0.460940 0.532664
0.252607 0.925541
0.158359 0.927762
0.301939 0.905866
0.190909 0.819730
0.493520 0.552658
0.718303 0.857692
0.046038 0.810357
0.224519 0.506455
0.355096 0.984726
0.893442 0.954805
0.701147 0.818328
0.360719 0.624400
0.316070 0.532029
0.125410 0.809590
0.084687 0.843713
0.556442 0.878589
0.001513 0.911538
0.863315 0.894955
0.713284 0.802324
0.308692 0.893634
0.199244 0.585586
0.326590 0.521706
0.020839 0.687309
0.271765 0.978675
0.109401 0.616183
0.434105 0.665843
0.199625 0.944380
0.062780 0.847046
0.493935 0.986390
0.647724 0.967739
0.231820 0.526980
0.062413 0.667743
0.215264 0.848505
0.849432 0.856340
0.068703 0.696964
0.710909 0.990515
0.105202 0.550332
0.014883 0.940716
0.123926 0.832250
0.082139 0.657153
0.740926 0.894411
0.203823 0.846128
0.444743 0.912718
0.776725 0.977360
0.535725 0.595667
0.228878 0.583342
0.010063 0.670766
0.327919 0.651905
0.023772 0.841412
0.010107 0.501083
0.137677 0.863541
0.204559 0.914403
0.323626 0.520132
0.595866 0.672510
0.769899 0.824546
0.507226 0.780006
0.325629 0.644903
0.554226 0.594099
0.079498 0.652266
0.629402 0.802441
0.332629 0.666553
0.606392 0.808298
0.527278 0.969626
0.242736 0.716339
0.491587 0.772814
0.316220 0.681623
0.090020 0.711967
0.176328 0.825949
0.151385 0.629981
0.181827 0.678663
0.043889 0.842343
0.312613 0.805899
0.244054 0.684011
0.023447 0.736583
0.366564 0.789562
0.853495 0.966171
0.059685 0.897384
0.294364 0.593860
0.330443 0.711836
0.492643 0.697007
0.607229 0.676383
0.224579 0.825799
0.046392 0.518943
0.295203 0.549239
0.310287 0.526916
0.592012 0.950827
0.127323 0.800904
0.319847 0.782403
0.485997 0.979613
0.080591 0.671875
0.007113 0.676033
0.063486 0.605187
0.409317 0.705352
0.377227 0.606684
0.165941 0.526440
0.202833 0.894053
0.159476 0.965281
0.438600 0.918538
0.269017 0.541937
0.177778 0.880466
0.278589 0.793232
0.004963 0.687906
0.498584 0.604535
0.177815 0.875811
0.858451 0.937802
0.135593 0.758135
0.324564 0.574193
0.116129 0.982906
0.863372 0.902974
0.087140 0.868335
0.472870 0.768694
0.461535 0.684089
0.112450 0.863787
0.804308 0.847418
0.251980 0.662759
0.680687 0.688303
0.194959 0.816280
0.446438 0.519524
0.113105 0.506602
0.106018 0.737490
0.800510 0.969390
0.640463 0.887649
0.000037 0.934909
0.798696 0.798993
0.461752 0.745125
0.433428 0.779860
0.149978 0.656303
0.078385 0.790441
0.543952 0.916110
0.134308 0.750930
0.166367 0.583292
0.818659 0.988533
0.259101 0.840443
0.862264 0.958093
0.707196 0.996572
0.709023 0.727579
0.090785 0.510629
0.209714 0.930122
0.138340 0.775734
0.435711 0.582920
0.094813 0.577311
0.863631 0.957078
0.535404 0.570828
0.715694 0.759986
0.831309 0.938553
0.394411 0.515476
0.392496 0.514958
0.167149 0.899772
0.544498 0.882843
0.127791 0.769807
0.121557 0.780231
0.018196 0.941386
0.390710 0.507716
0.176408 0.783206
0.022674 0.733772
0.633544 0.694757
0.063110 0.893777
0.835163 0.849069
0.883439 0.958634
0.769790 0.956105
0.251936 0.542010
0.510238 0.897471
0.754500 0.925652
0.185217 0.505358
0.088879 0.600126
0.646926 0.759822
0.191444 0.571700
0.453439 0.516534
0.292983 0.727104
0.201555 0.734010
0.334136 0.526184
0.050256 0.525580
